Name,Address
MTX_006_OBJ_3C,0x8003AD70
MTX_006_OBJ_D8,0x8003AE0C
CMB_06_OBJ_58,0x8003BD50
CMB_06_OBJ_80,0x8003BD78
CMB_07_OBJ_58,0x8003BDE0
CMB_07_OBJ_A8,0x8003BE30
FGO_01_OBJ_1C,0x8003BEA4
FGO_01_OBJ_44,0x8003BECC
FGO_01_OBJ_80,0x8003BF08
FGO_01_OBJ_A8,0x8003BF30
FGO_01_OBJ_10C,0x8003BF94
FGO_01_OBJ_134,0x8003BFBC
FGO_02_OBJ_1C,0x8003C134
FGO_02_OBJ_44,0x8003C15C
FGO_02_OBJ_84,0x8003C19C
FGO_02_OBJ_AC,0x8003C1C4
FGO_02_OBJ_10C,0x8003C224
FGO_02_OBJ_134,0x8003C24C
FGO_03_OBJ_1C,0x8003C3C4
FGO_03_OBJ_44,0x8003C3EC
FGO_03_OBJ_80,0x8003C428
FGO_03_OBJ_A8,0x8003C450
FGO_03_OBJ_10C,0x8003C4B4
FGO_03_OBJ_134,0x8003C4DC
FGO_04_OBJ_1C,0x8003C654
FGO_04_OBJ_44,0x8003C67C
FGO_05_OBJ_1C,0x8003C7F4
FGO_05_OBJ_40,0x8003C818
FGO_06_OBJ_1C,0x8003C994
FGO_06_OBJ_44,0x8003C9BC
RATAN_OBJ_14,0x8003CB2C
RATAN_OBJ_24,0x8003CB3C
RATAN_OBJ_3C,0x8003CB54
RATAN_OBJ_60,0x8003CB78
RATAN_OBJ_78,0x8003CB90
RATAN_OBJ_84,0x8003CB9C
RATAN_OBJ_98,0x8003CBB0
RATAN_OBJ_B0,0x8003CBC8
RATAN_OBJ_D0,0x8003CBE8
RATAN_OBJ_EC,0x8003CC04
RATAN_OBJ_104,0x8003CC1C
RATAN_OBJ_110,0x8003CC28
RATAN_OBJ_124,0x8003CC3C
RATAN_OBJ_13C,0x8003CC54
RATAN_OBJ_168,0x8003CC80
PATCHGTE_OBJ_30,0x8003CCC8
VSYNC_OBJ_50,0x8003CE28
VSYNC_OBJ_7C,0x8003CE54
VSYNC_OBJ_90,0x8003CE68
VSYNC_OBJ_F0,0x8003CEC8
VSYNC_OBJ_108,0x8003CEE0
VSYNC_OBJ_170,0x8003CF48
VSYNC_OBJ_1BC,0x8003CF94
